Run Index,Seed,Center,Time,E[T_S],E[N_S],E[T_Q],E[N_Q]
22,484764695,Ricarica,35696.60919490121,3272.4076095949063,1.1917462157949232,0.0,0.0
22,484764695,Ricarica,36013.16722024039,3106.4980714822377,1.2076408813137713,0.0,0.0
22,484764695,Ricarica,36588.33266134366,2976.086925530524,1.22009669847903,0.0,0.0
22,484764695,Ricarica,39313.627133673974,2960.412397205511,1.204839181951656,0.0,0.0
22,484764695,Ricarica,39990.72395240089,2960.412397205511,1.1844396318422854,0.0,0.0
22,484764695,Ricarica,41377.13657363114,3047.0631860324015,1.1782596625496744,0.0,0.0
22,484764695,Ricarica,41887.95498658517,2927.920458966264,1.1882806839905904,0.0,0.0
22,484764695,Ricarica,42554.49393814539,2967.128632587453,1.1853316086264574,0.0,0.0
22,484764695,Ricarica,48335.599531538224,3647.258702398375,1.2827687779131844,0.0,0.0
22,484764695,Ricarica,48452.5464933637,3464.124379236044,1.2869135543740542,0.0,0.0
22,484764695,Ricarica,49668.8136593057,3409.830166217516,1.3043752887380404,0.0,0.0
22,484764695,Ricarica,50461.99351341252,3451.576474328401,1.299591007929737,0.0,0.0
22,484764695,Ricarica,51913.136864647604,3424.1119857354897,1.3191697487528558,0.0,0.0
22,484764695,Ricarica,52784.08880119613,3467.6595825629165,1.3139033603945955,0.0,0.0
22,484764695,Ricarica,52933.57845642803,3316.770045796292,1.3158409650890297,0.0,0.0
22,484764695,Ricarica,53223.15215588843,3330.5592695801206,1.3141225543411263,0.0,0.0
22,484764695,Ricarica,53507.862290664285,3205.052951397011,1.317772041568489,0.0,0.0
22,484764695,Ricarica,56578.81161442886,3344.641557022674,1.3005242095918068,0.0,0.0
22,484764695,Ricarica,56877.32778212199,3371.7793904493224,1.3041953530946562,0.0,0.0
22,484764695,Ricarica,57962.14892820358,3366.6786968752117,1.3359340787044516,0.0,0.0
22,484764695,Ricarica,58636.76554646373,3425.3410115065285,1.3435741642710954,0.0,0.0
22,484764695,Ricarica,59124.18854232043,3343.546343842511,1.3572298281063377,0.0,0.0
22,484764695,Ricarica,60132.43718669093,3290.4643816384505,1.3680072418413163,0.0,0.0
22,484764695,Ricarica,60797.83039827157,3189.500105866997,1.363979638900066,0.0,0.0
22,484764695,Ricarica,63988.208540915395,3189.500105866997,1.295973190115436,0.0,0.0
22,484764695,Ricarica,68700.31447649408,3245.892914374837,1.2756725985309203,0.0,0.0
22,484764695,Ricarica,69518.3229930568,3245.892914374837,1.2606620084445022,0.0,0.0
22,484764695,Ricarica,69858.89059036023,3142.131295908001,1.2593912606102031,0.0,0.0
22,484764695,Ricarica,70182.67388323147,3142.131295908001,1.2535811392966139,0.0,0.0
22,484764695,Ricarica,70667.08514328931,3050.485777430409,1.2518428822429304,0.0,0.0
22,484764695,Ricarica,70762.02341112087,3050.485777430409,1.250163340179147,0.0,0.0
22,484764695,Ricarica,73572.45047944626,3042.4838204602415,1.2406072384296398,0.0,0.0
22,484764695,Ricarica,74741.56207293428,3042.4838204602415,1.2212015922913115,0.0,0.0
22,484764695,Ricarica,75641.95006658947,2973.3839550794337,1.2185685658066536,0.0,0.0
22,484764695,Ricarica,77763.22511241869,2973.3839550794337,1.1853276722282218,0.0,0.0
22,484764695,Ricarica,78751.19603298511,3005.2539847751245,1.1830026491154164,0.0,0.0
22,484764695,Ricarica,78760.13378796876,3005.8306141289086,1.1830953625453373,0.0,0.0
22,484764695,Ricarica,80178.86742769451,3044.904686161669,1.2152447781211462,0.0,0.0
22,484764695,Ricarica,82740.3280600561,3107.8748855120175,1.2395390932877943,0.0,0.0
22,484764695,Ricarica,86198.15501894377,3118.167593552478,1.2299300159903044,0.0,0.0
23,1517832035,Ricarica,627.5754595912107,NaN,0.0,0.0,0.0
23,1517832035,Ricarica,2569.1525636863184,1941.5771040951076,0.7557266670490205,0.0,0.0
23,1517832035,Ricarica,3377.278676339657,1941.5771040951076,0.5748939575810832,0.0,0.0
23,1517832035,Ricarica,5226.159130536364,3790.457558291814,0.7252855230037355,0.0,0.0
23,1517832035,Ricarica,5902.568600377432,2571.638248986975,0.8713624264604177,0.0,0.0
23,1517832035,Ricarica,8691.293862967388,3966.0008802819534,0.9126376216964958,0.0,0.0
23,1517832035,Ricarica,10309.16577512262,5583.872792437185,1.0832831509823635,0.0,0.0
23,1517832035,Ricarica,11408.46757316003,7232.8254894933,1.2679749393353241,0.0,0.0
23,1517832035,Ricarica,11626.20311091397,5112.197710000787,1.3191403060561797,0.0,0.0
23,1517832035,Ricarica,12536.95564706027,6022.950246147087,1.4412470815973684,0.0,0.0
