Seed,Center,Completion Time,Taken Time
1768028919,Parcheggio,40375.90410283502,46655.968738178555
1768028919,Parcheggio,40468.27985490673,47518.41579153699
1768028919,Parcheggio,40602.70902387164,47607.07445784211
1768028919,Parcheggio,40655.592962563256,47987.425916227374
1768028919,Parcheggio,40687.12133638662,48293.58978237492
1768028919,Parcheggio,40732.256728233544,48370.72115678132
1768028919,Ricarica,41077.33851984919,48683.02457376193
1768028919,Parcheggio,41077.33851984919,48986.42386672964
1768028919,Parcheggio,41381.315920893656,49042.41516069795
1768028919,Parcheggio,41551.80208209888,49201.13070204253
1768028919,Parcheggio,41786.326290006225,49280.86182865976
1768028919,Parcheggio,41802.382200769665,49665.178460016105
1768028919,Parcheggio,42146.86432266559,49670.98678941582
1768028919,Parcheggio,42375.30378488129,49938.77731595709
1768028919,Parcheggio,43030.0488062256,50093.09399809984
1768028919,Parcheggio,43270.422991657106,50165.93895853082
1768028919,Parcheggio,43319.241578335335,50364.18578206462
1768028919,Parcheggio,43327.69239502507,50629.77012084937
1768028919,Parcheggio,43468.12743451986,50822.533381632195
1768028919,Ricarica,43767.43008119176,51114.439485285264
1768028919,Parcheggio,43767.43008119176,51303.62391104717
1768028919,Ricarica,44087.726679871674,51322.45126966076
1768028919,Parcheggio,44087.726679871674,51422.529267089456
1768028919,Parcheggio,44201.980372286474,51767.61767751864
1768028919,Parcheggio,44382.3739111902,51809.45436823264
1768028919,Parcheggio,45233.83814950077,51942.52899412922
1768028919,Parcheggio,45412.33891227988,52577.64374770184
1768028919,Parcheggio,45490.46000715727,52629.035884737044
1768028919,Ricarica,47051.32157636935,52946.452474573045
1768028919,Parcheggio,47051.32157636935,53285.68217167992
1768028919,Parcheggio,48042.014063598166,53762.72821536353
1768028919,Ricarica,48366.50668973028,54272.996374931136
1768028919,Parcheggio,48366.50668973028,54520.9827846124
1768028919,Parcheggio,49205.23923795495,54599.12879056412
1768028919,Ricarica,50016.50202692803,54939.73279473277
1768028919,Parcheggio,50016.50202692803,55140.55860386654
1768028919,Ricarica,50888.77325730793,56182.34892757412
1768028919,Parcheggio,50888.77325730793,56304.971674252185
1768028919,Parcheggio,50893.015308830094,56602.430979668454
1768028919,Parcheggio,51229.25797942113,56838.83364621642
1768028919,Parcheggio,51538.74082057546,57170.47329883711
1768028919,Parcheggio,51781.3489429979,57416.951153157126
